"Site","Date","Restoration.type","totRFDetections","totOCDetections","propRF","propOC"
"UPMAP3B",20201207,"Benchmark",532,0,1,0
"UPMAP3B",20201212,"Benchmark",510,2,0.99609375,0.00390625
"UPMAP4B",20200309,"Benchmark",316,7,0.978328173374613,0.021671826625387
"UPMAP4B",20200324,"Benchmark",423,4,0.990632318501171,0.00936768149882905
"UPMAP4B",20200328,"Benchmark",322,2,0.993827160493827,0.00617283950617287
"UPMAP4B",20201205,"Benchmark",298,2,0.993333333333333,0.00666666666666671
"UPMAP4B",20201208,"Benchmark",287,1,0.996527777777778,0.00347222222222221
"UPMAP4B",20201212,"Benchmark",647,0,1,0
"UPMAP5B",20200309,"Benchmark",261,17,0.938848920863309,0.0611510791366906
"UPMAP5B",20200324,"Benchmark",337,1,0.997041420118343,0.00295857988165682
"UPMAP5B",20200328,"Benchmark",253,0,1,0
"UPMAP5B",20201205,"Benchmark",405,0,1,0
"UPMAP5B",20201208,"Benchmark",421,1,0.997630331753555,0.00236966824644547
"UPMAP5B",20201211,"Benchmark",429,0,1,0
"UPMAP6B",20200309,"Benchmark",218,37,0.854901960784314,0.145098039215686
"UPMAP6B",20200325,"Benchmark",291,42,0.873873873873874,0.126126126126126
"UPMAP6B",20200328,"Benchmark",447,0,1,0
"UPMAP6B",20201202,"Benchmark",474,4,0.99163179916318,0.00836820083682011
"UPMAP6B",20201205,"Benchmark",513,0,1,0
"UPMAP6B",20201209,"Benchmark",280,12,0.958904109589041,0.041095890410959
"VAR210R",20200311,"Active",196,53,0.78714859437751,0.21285140562249
"VAR210R",20200319,"Active",232,91,0.718266253869969,0.281733746130031
"VAR210R",20200504,"Active",82,48,0.630769230769231,0.369230769230769
"VAR210R",20201206,"Active",252,40,0.863013698630137,0.136986301369863
"VAR210R",20210107,"Active",140,43,0.765027322404372,0.234972677595628
"VAR210R",20210113,"Active",111,12,0.902439024390244,0.0975609756097561
"VAR310R",20200311,"Active",192,93,0.673684210526316,0.326315789473684
"VAR310R",20200318,"Active",442,243,0.645255474452555,0.354744525547445
"VAR310R",20200504,"Active",415,100,0.805825242718447,0.194174757281553
"VAR310R",20201130,"Active",371,92,0.801295896328294,0.198704103671706
"VAR310R",20201206,"Active",469,76,0.860550458715596,0.139449541284404
"VAR310R",20210113,"Active",282,46,0.859756097560976,0.140243902439024
"VAR310U",20200311,"Passive",218,168,0.564766839378238,0.435233160621762
"VAR310U",20200319,"Passive",582,173,0.770860927152318,0.229139072847682
"VAR310U",20200504,"Passive",330,203,0.619136960600375,0.380863039399625
"VAR310U",20201130,"Passive",455,124,0.785837651122625,0.214162348877375
"VAR310U",20210106,"Passive",70,41,0.630630630630631,0.369369369369369
"VAR310U",20210109,"Passive",6,4,0.6,0.4
"VAR410R",20200311,"Active",352,105,0.770240700218818,0.229759299781182
"VAR410R",20200320,"Active",370,118,0.758196721311475,0.241803278688525
"VAR410R",20200506,"Active",213,201,0.514492753623188,0.485507246376812
"VAR410R",20201130,"Active",256,122,0.677248677248677,0.322751322751323
"VAR410R",20201202,"Active",434,185,0.701130856219709,0.298869143780291
"VAR410R",20210106,"Active",284,155,0.646924829157175,0.353075170842825
"VAR410U",20200311,"Passive",246,170,0.591346153846154,0.408653846153846
"VAR410U",20200318,"Passive",353,115,0.754273504273504,0.245726495726496
"VAR410U",20200506,"Passive",98,35,0.736842105263158,0.263157894736842
"VAR410U",20201130,"Passive",261,249,0.511764705882353,0.488235294117647
"VAR410U",20201206,"Passive",169,9,0.949438202247191,0.050561797752809
"VAR410U",20210107,"Passive",103,145,0.415322580645161,0.584677419354839
